Popularity in 2005,,,,
Rank,Male name,Number of,Female name,Number of
,,males,,females
643,Brooks,339,Jazlyn,433
644,Dwayne,339,Amani,431
645,Moshe,338,Damaris,430
646,Sage,338,Tyra,430
647,Zechariah,338,Ingrid,429
648,Dashawn,336,Yazmin,428
649,Tyrell,336,Bailee,427
650,Ernest,335,Jaylin,426
651,Freddy,333,Stacy,426
652,Aydan,331,Ally,425
653,Maverick,331,Deborah,425
654,Clay,330,Jacquelyn,425
655,Alonso,329,Charity,423
656,Donte,328,Annalise,421
657,Lewis,328,Ansley,421
658,Keagan,327,Gisselle,421
659,Brennen,326,Catalina,420
660,Sincere,326,Cecelia,420
661,Layne,325,Gillian,420
662,Dale,323,Kaylyn,420
663,Kenyon,322,Meagan,420
664,Omari,322,Ayla,417
665,Octavio,321,Eve,417
666,Tyree,321,Kendal,417
667,Wayne,317,Angelique,416
668,Raphael,316,Hana,416
669,Demarion,315,Mariela,416
670,Alessandro,314,Paula,416
671,Jair,314,Lizeth,415
672,Ross,313,Mara,415
673,Ignacio,312,Jaylynn,413
674,Oswaldo,312,Clare,412
675,Bradyn,311,Thalia,412
676,Agustin,310,Kaylynn,411
677,Jordon,310,Celia,410
678,Davian,309,Lainey,410
679,Xzavier,309,Taniya,409
680,Cash,308,Giovanna,408
681,Aryan,307,Quinn,407
682,Matteo,305,Savanah,407
683,Dominique,304,Barbara,406
684,Gideon,304,Brisa,406
685,London,304,Greta,405
686,Lamar,303,Lyric,404
687,Boston,302,Aimee,403
688,Humberto,301,Annabella,403
689,Garret,300,Felicity,403
690,Mike,300,Alena,401
691,Muhammad,299,Kaia,401
692,Reagan,299,Tanya,401
693,Rhett,298,Karlie,400
694,Clarence,297,Karli,399
695,Jadyn,297,Ashanti,398
696,Lawson,297,Maeve,398
697,Adrien,296,Evelin,397
698,Tyrese,296,Aliya,396
699,Salvatore,295,Ashly,395
700,Kareem,294,Iliana,393
701,Kyan,293,Jaclyn,393
702,Semaj,293,Roselyn,392
703,Javion,292,Campbell,389
704,Ryland,292,Marianna,388
705,Derick,291,Jakayla,387
706,Jamar,290,Aryanna,386
707,Gavyn,289,Elyse,386
708,Markus,289,Aylin,385
709,Darnell,288,Stephany,385
710,Kian,288,Amiyah,384
711,Arjun,287,Aria,384
712,Ari,286,Parker,384
713,Barrett,286,Liana,383
714,Jaron,286,Ayana,382
715,Landyn,286,Cassie,382
716,Nathanial,286,Lesley,382
717,Frankie,283,Eileen,381
718,Rory,283,Ryann,381
719,Ryker,283,Makena,380
720,Armani,282,Sydnee,380
721,Giancarlo,282,Kaila,379
722,Kane,282,Tianna,379
723,Malakai,282,Brandy,378
724,Milo,282,Zaria,378
725,Alfred,280,Sherlyn,377
726,Clinton,279,Chaya,373
727,Hamza,279,Aisha,372
728,Cullen,278,Gia,372
729,Jaylan,277,Joslyn,372
730,Jovani,277,Adrienne,371
731,Roland,277,Princess,371
732,Aditya,276,Myah,370
